2017-07-03 15:38:03,996 [__main__] INFO:	Firing up the GUI window.
2017-07-06 16:47:23,032 [__main__] DEBUG:	Output from Calibration Board Controller cmd: '1\r\n'
2017-07-06 16:47:23,033 [__main__] DEBUG:	Calboard Controller is healthy, moving forward.


2017-07-06 16:47:23,033 [__main__] DEBUG:	Precheck complete! System healthy.
2017-07-06 16:47:36,805 [__main__] INFO:	Running through kill application safety procedures.


2017-07-06 16:47:36,806 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial-A800dars: [Errno 2] No such file or directory: '/dev/tty.usbserial-A800dars'")
2017-07-06 16:47:36,806 [__main__] WARNING:	Not able to kill bath.
2017-07-06 16:47:38,950 [__main__] INFO:	Firing up the GUI window.
2017-07-06 16:47:43,941 [__main__] INFO:	Running through prechecks...
2017-07-06 16:47:43,941 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial-A800dars: [Errno 2] No such file or directory: '/dev/tty.usbserial-A800dars'")
2017-07-06 16:47:43,941 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial: [Errno 2] No such file or directory: '/dev/tty.usbserial'")
2017-07-06 16:47:43,942 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial-AE01I93I: [Errno 2] No such file or directory: '/dev/tty.usbserial-AE01I93I'")
2017-07-06 16:47:43,943 [__main__] DEBUG:	Acquired serial connection.
2017-07-06 16:47:43,944 [__main__] INFO:	Starting Calibration Board Controller
2017-07-06 16:47:43,944 [__main__] DEBUG:	Connected over serial at /dev/tty.usbmodem1411
2017-07-06 16:47:46,945 [__main__] DEBUG:	Output from Calibration Board Controller cmd: ''
2017-07-06 16:47:47,960 [__main__] DEBUG:	Output from Calibration Board Controller cmd: '1\r\n'
2017-07-06 16:47:47,960 [__main__] ERROR:	Calboard is unhealthy, stopping calibration.


2017-07-06 16:48:21,527 [__main__] INFO:	Running through kill application safety procedures.


2017-07-06 16:48:21,527 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial-A800dars: [Errno 2] No such file or directory: '/dev/tty.usbserial-A800dars'")
2017-07-06 16:48:21,528 [__main__] WARNING:	Not able to kill bath.
2017-07-06 16:48:31,259 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial-A800dars: [Errno 2] No such file or directory: '/dev/tty.usbserial-A800dars'")
2017-07-06 16:48:31,259 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial: [Errno 2] No such file or directory: '/dev/tty.usbserial'")
2017-07-06 16:48:31,259 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial-AE01I93I: [Errno 2] No such file or directory: '/dev/tty.usbserial-AE01I93I'")
2017-07-06 16:48:31,261 [__main__] DEBUG:	Acquired serial connection.
2017-07-06 16:48:32,265 [__main__] INFO:	Starting Calibration Board Controller
2017-07-06 16:48:32,265 [__main__] DEBUG:	Connected over serial at /dev/tty.usbmodem1411
2017-07-06 16:48:33,277 [__main__] DEBUG:	Output from Calibration Board Controller cmd: '1\r\n'
2017-07-06 16:48:33,277 [__main__] DEBUG:	Calboard Controller is healthy, moving forward.


2017-07-06 16:48:34,284 [__main__] INFO:	Starting Calibration Board Controller
2017-07-06 16:48:34,284 [__main__] DEBUG:	Connected over serial at /dev/tty.usbmodem1411
2017-07-06 16:48:35,304 [__main__] DEBUG:	Output from Calibration Board Controller cmd: 'valves 1\r\n'
2017-07-06 16:48:41,403 [__main__] DEBUG:	Output from Calibration Board Controller cmd: 'valves 2\r\n'
2017-07-06 16:49:27,131 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial-A800dars: [Errno 2] No such file or directory: '/dev/tty.usbserial-A800dars'")
2017-07-06 16:49:27,131 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial: [Errno 2] No such file or directory: '/dev/tty.usbserial'")
2017-07-06 16:49:27,131 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial-AE01I93I: [Errno 2] No such file or directory: '/dev/tty.usbserial-AE01I93I'")
2017-07-06 16:49:27,132 [__main__] DEBUG:	Acquired serial connection.
2017-07-06 16:49:28,134 [__main__] INFO:	Starting Calibration Board Controller
2017-07-06 16:49:28,135 [__main__] DEBUG:	Connected over serial at /dev/tty.usbmodem1411
2017-07-06 16:49:29,148 [__main__] DEBUG:	Output from Calibration Board Controller cmd: '1\r\n'
2017-07-06 16:49:29,149 [__main__] DEBUG:	Calboard Controller is healthy, moving forward.


2017-07-06 16:49:30,155 [__main__] INFO:	Starting Calibration Board Controller
2017-07-06 16:49:30,155 [__main__] DEBUG:	Connected over serial at /dev/tty.usbmodem1411
2017-07-06 16:49:31,172 [__main__] DEBUG:	Output from Calibration Board Controller cmd: 'F001\r\n'
2017-07-06 16:49:31,172 [__main__] ERROR:	Error from Calibration Board Controller: 'F001\r\n'
2017-07-06 16:52:49,002 [__main__] INFO:	Firing up the GUI window.
2017-07-06 16:52:52,609 [__main__] INFO:	Running through prechecks...
2017-07-06 16:52:52,609 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial-A800dars: [Errno 2] No such file or directory: '/dev/tty.usbserial-A800dars'")
2017-07-06 16:52:52,610 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial: [Errno 2] No such file or directory: '/dev/tty.usbserial'")
2017-07-06 16:52:52,610 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial-AE01I93I: [Errno 2] No such file or directory: '/dev/tty.usbserial-AE01I93I'")
2017-07-06 16:52:52,612 [__main__] DEBUG:	Acquired serial connection.
2017-07-06 16:52:53,613 [__main__] INFO:	Starting Calibration Board Controller
2017-07-06 16:52:53,614 [__main__] DEBUG:	Connected over serial at /dev/tty.usbmodem1411
2017-07-06 16:52:54,626 [__main__] DEBUG:	Output from Calibration Board Controller cmd: '1\r\n'
2017-07-06 16:52:54,626 [__main__] DEBUG:	Calboard Controller is healthy, moving forward.


2017-07-06 16:52:54,627 [__main__] DEBUG:	Precheck complete! System healthy.
2017-07-06 16:53:03,436 [__main__] INFO:	Calibration initiated.
2017-07-06 16:53:04,438 [__main__] INFO:	Starting Calibration Board Controller
2017-07-06 16:53:04,438 [__main__] DEBUG:	Connected over serial at /dev/tty.usbmodem1411
2017-07-06 16:53:07,458 [__main__] DEBUG:	Output from Calibration Board Controller cmd: 'valves 1\r\n'
2017-07-06 16:54:24,283 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial-A800dars: [Errno 2] No such file or directory: '/dev/tty.usbserial-A800dars'")
2017-07-06 16:54:24,283 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial: [Errno 2] No such file or directory: '/dev/tty.usbserial'")
2017-07-06 16:54:24,283 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial-AE01I93I: [Errno 2] No such file or directory: '/dev/tty.usbserial-AE01I93I'")
2017-07-06 16:54:24,284 [__main__] DEBUG:	Acquired serial connection.
2017-07-06 16:54:25,290 [__main__] INFO:	Starting Calibration Board Controller
2017-07-06 16:54:25,290 [__main__] DEBUG:	Connected over serial at /dev/tty.usbmodem1411
2017-07-06 16:54:26,300 [__main__] DEBUG:	Output from Calibration Board Controller cmd: '1\r\n'
2017-07-06 16:54:26,300 [__main__] DEBUG:	Calboard Controller is healthy, moving forward.


2017-07-06 16:54:27,306 [__main__] INFO:	Starting Calibration Board Controller
2017-07-06 16:54:27,307 [__main__] DEBUG:	Connected over serial at /dev/tty.usbmodem1411
2017-07-06 16:54:28,323 [__main__] DEBUG:	Output from Calibration Board Controller cmd: 'F001\r\n'
2017-07-06 16:54:28,323 [__main__] ERROR:	Error from Calibration Board Controller: 'F001\r\n'
2017-07-06 16:55:12,384 [__main__] INFO:	Firing up the GUI window.
2017-07-06 16:55:16,845 [__main__] INFO:	Running through prechecks...
2017-07-06 16:55:16,845 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial-A800dars: [Errno 2] No such file or directory: '/dev/tty.usbserial-A800dars'")
2017-07-06 16:55:16,845 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial: [Errno 2] No such file or directory: '/dev/tty.usbserial'")
2017-07-06 16:55:16,846 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial-AE01I93I: [Errno 2] No such file or directory: '/dev/tty.usbserial-AE01I93I'")
2017-07-06 16:55:16,847 [__main__] DEBUG:	Acquired serial connection.
2017-07-06 16:55:17,849 [__main__] INFO:	Starting Calibration Board Controller
2017-07-06 16:55:17,849 [__main__] DEBUG:	Connected over serial at /dev/tty.usbmodem1411
2017-07-06 16:55:18,862 [__main__] DEBUG:	Output from Calibration Board Controller cmd: '1\r\n'
2017-07-06 16:55:18,862 [__main__] DEBUG:	Calboard Controller is healthy, moving forward.


2017-07-06 16:55:18,863 [__main__] DEBUG:	Precheck complete! System healthy.
2017-07-06 16:55:25,074 [__main__] INFO:	Calibration initiated.
2017-07-06 16:55:26,075 [__main__] INFO:	Starting Calibration Board Controller
2017-07-06 16:55:26,076 [__main__] DEBUG:	Connected over serial at /dev/tty.usbmodem1411
2017-07-06 16:55:29,098 [__main__] DEBUG:	Output from Calibration Board Controller cmd: 'valves 1\r\n'
2017-07-06 16:55:35,192 [__main__] DEBUG:	Output from Calibration Board Controller cmd: 'valves 2\r\n'
2017-07-06 16:56:11,084 [__main__] INFO:	Running through kill application safety procedures.


2017-07-06 16:56:11,084 [__main__] ERROR:	SerialException occured. Arguments:(2, "could not open port /dev/tty.usbserial-A800dars: [Errno 2] No such file or directory: '/dev/tty.usbserial-A800dars'")
2017-07-06 16:56:11,084 [__main__] WARNING:	Not able to kill bath.
